timestamp,occupancy,charging_load_kW,energy_delivered_kWh,hour,day,month,dayofweek,is_weekend,occ_lag_1,occ_lag_2,occ_lag_24,vol_lag_1,vol_lag_2,vol_lag_24,occ_roll_mean_3,vol_roll_mean_3,pred_occupancy,pred_volume,pred_utilization_rate,congestion_probability,dynamic_price,dynamic_volume,dynamic_occupancy
2018-10-30 19:00:00,49,61.675740575140075,61.675740575140075,19,30,10,1,0,48.0,46.0,50.0,76.69967589266939,114.51451600301111,59.85745227855365,46.666666666666664,99.72042027688478,47.619982947733355,65.3067784533168,0.8503568383523813,0.6232975474017933,17.517841917619062,59.08757782646863,46.94376243394443
2018-10-30 20:00:00,50,54.003908539819726,54.003908539819726,20,30,10,1,0,49.0,48.0,50.0,61.675740575140075,76.69967589266939,60.78123970855957,47.666666666666664,84.2966441569401,48.49200619376227,57.874089791824176,0.8659286820314691,0.6591001643361633,18.296434101573453,51.03690311100447,47.25297158202213
2018-10-30 21:00:00,48,49.04965523436506,49.04965523436506,21,30,10,1,0,50.0,49.0,51.0,54.003908539819726,61.675740575140075,61.71066443558154,49.0,64.12644166920964,47.91007423145564,51.403188540034364,0.8555370398474221,0.635380664608356,17.776851992371103,46.77959468665402,45.77851840610312
2018-10-30 22:00:00,48,44.57941793056877,44.57941793056877,22,30,10,1,0,48.0,50.0,51.0,49.04965523436506,54.003908539819726,67.75528086535752,49.0,54.90976811644153,47.10134566876835,45.62187517045177,0.8410954583708634,0.6013167480118947,17.05477291854317,43.05274158576626,46.35618166516546
2018-10-30 23:00:00,47,45.24554518292932,45.24554518292932,23,30,10,1,0,48.0,48.0,49.0,44.57941793056877,49.04965523436506,65.12858261660645,48.666666666666664,49.21099390158443,45.592159644482756,41.816072724083114,0.8141457079371921,0.5353054173742873,15.707285396859604,44.71218662658203,46.44595977245998
2018-10-31 00:00:00,42,62.74456741740181,62.74456741740181,0,31,10,2,0,47.0,48.0,47.0,45.24554518292932,44.57941793056877,75.19865393132042,47.666666666666664,46.291539449287626,41.43186236989846,54.168618405930935,0.7398546851767582,0.3540113067711708,15.0,62.74456741740181,42.0
2018-10-31 01:00:00,35,89.35024522953839,89.35024522953839,1,31,10,2,0,42.0,47.0,29.0,62.74456741740181,45.24554518292932,74.84208153343346,45.666666666666664,50.856510176966545,34.14616806131638,71.00337402627918,0.6097530010949354,0.1298291756789712,15.0,89.35024522953839,35.0
2018-10-31 02:00:00,28,92.56024035013614,92.56024035013614,2,31,10,2,0,35.0,42.0,27.0,89.35024522953839,62.74456741740181,79.01847626115281,41.333333333333336,65.78011927662308,27.960417249048476,85.50438224408269,0.4992931651615799,0.04710756837466108,15.0,92.56024035013614,28.0
2018-10-31 03:00:00,26,97.0610686965637,97.0610686965637,3,31,10,2,0,28.0,35.0,21.0,92.56024035013614,89.35024522953839,73.32545107840092,35.0,81.5516843323587,22.236448362392036,61.31790041021564,0.3970794350427149,0.017477555899665202,15.0,97.0610686965637,26.0
2018-10-31 04:00:00,17,63.280081890014145,63.280081890014145,4,31,10,2,0,26.0,28.0,18.0,97.0610686965637,92.56024035013614,65.30766577245456,29.666666666666668,92.99051809207931,18.79109249205765,59.99054953583583,0.33555522307245805,0.00952327307673757,15.0,63.280081890014145,17.0
2018-10-31 05:00:00,14,33.58307245748284,33.58307245748284,5,31,10,2,0,17.0,26.0,12.0,63.280081890014145,97.0610686965637,28.96158385428425,23.666666666666668,84.30046364557124,13.005157442050994,43.247125323246024,0.23223495432233918,0.003409920831115119,13.870582572038987,34.21522757944882,14.263530733190903
2018-10-31 06:00:00,8,28.885099221333206,28.885099221333206,6,31,10,2,0,14.0,17.0,8.0,33.58307245748284,63.280081890014145,12.466250391042738,19.0,64.64140768135347,9.53596940967369,14.082330743460028,0.17028516802988733,0.0018381637365438412,12.838086133831457,29.92588416353745,8.288255182155806
2018-10-31 07:00:00,7,10.202056552455192,10.202056552455192,7,31,10,2,0,8.0,14.0,6.0,28.885099221333206,33.58307245748284,2.309302838054893,13.0,41.916084522943315,7.079183719874806,16.188798186119794,0.1264139949977644,0.0011861447951992557,12.106899916629406,10.693982730162853,7.337528343059903
2018-10-31 08:00:00,7,10.202056552455192,10.202056552455192,8,31,10,2,0,7.0,8.0,6.0,10.202056552455192,28.885099221333206,2.309302838054893,9.666666666666666,24.22340941042366,6.798625857641648,8.387015257611809,0.12140403317217228,0.0011282488324813578,12.02340055286954,10.708180484015722,7.347269935498554
2018-10-31 09:00:00,7,7.094300071623855,7.094300071623855,9,31,10,2,0,7.0,7.0,6.0,10.202056552455192,10.202056552455192,2.309302838054893,7.333333333333333,16.42973744208111,6.982713425175959,8.54751042181582,0.12469131116385641,0.0011659098863790243,12.078188519397607,7.439770194892338,7.34087800607028
2018-10-31 10:00:00,7,7.094300071623855,7.094300071623855,10,31,10,2,0,7.0,7.0,6.0,7.094300071623855,10.202056552455192,2.309302838054893,7.0,9.166137725511328,6.939651831376121,5.5196459421686725,0.12392235413171646,0.0011569892549955132,12.06537256886194,7.441285531539055,7.3423732002994395
2018-10-31 11:00:00,7,0.3642524722085413,0.3642524722085413,11,31,10,2,0,7.0,7.0,6.0,7.094300071623855,7.094300071623855,2.309302838054893,7.0,8.130218898567549,7.497401285190701,6.867151407086457,0.13388216580697682,0.0012780022512041346,12.231369430116281,0.38106048103707946,7.3230068998197675
2018-10-31 12:00:00,10,13.521937712876204,13.521937712876204,12,31,10,2,0,7.0,7.0,7.0,0.3642524722085413,7.094300071623855,8.818661668201123,7.0,4.850950871818665,7.53808791017411,3.1921756797259047,0.13460871268168054,0.0012873093528711285,12.243478544694675,14.143162903256961,10.459420242550888
2018-10-31 13:00:00,14,23.276669240477695,23.276669240477695,13,31,10,2,0,10.0,7.0,10.0,13.521937712876204,0.3642524722085413,20.36194238193984,8.0,6.993496752236115,13.008647617811336,24.23407567925478,0.23229727888948815,0.003412039458328242,13.871621314824802,23.714417531024832,14.263288359874213
2018-10-31 14:00:00,18,28.844873726578328,28.844873726578328,14,31,10,2,0,14.0,10.0,15.0,23.276669240477695,13.521937712876204,28.856600408009882,10.333333333333334,12.387619808520727,18.435882710152388,46.21328012814432,0.3292121912527212,0.008943202606525244,15.0,28.844873726578328,18.0
2018-10-31 15:00:00,37,76.3401563647762,76.3401563647762,15,31,10,2,0,18.0,14.0,35.0,28.844873726578328,23.276669240477695,85.18079010192245,14.0,21.88116022664399,37.55284076173841,84.13748894502102,0.6705864421739002,0.21515364389229558,15.0,76.3401563647762,37.0
2018-10-31 16:00:00,48,90.78842442838857,90.78842442838857,16,31,10,2,0,37.0,18.0,46.0,76.3401563647762,28.844873726578328,107.94706893497408,23.0,42.82056644394399,44.69508187486744,87.73349946996211,0.7981264620512043,0.4953162921313021,15.0,90.78842442838857,48.0
2018-10-31 17:00:00,47,70.17172503590785,70.17172503590785,17,31,10,2,0,48.0,37.0,46.0,90.78842442838857,76.3401563647762,114.51451600301111,34.333333333333336,65.32448483991429,47.85034746195092,94.51177104185561,0.8544704903919806,0.6329062179454737,17.72352451959903,66.98648480727691,44.866572459647415
2018-10-31 18:00:00,47,46.98988516604219,46.98988516604219,18,31,10,2,0,47.0,48.0,48.0,70.17172503590785,90.78842442838857,76.69967589266939,44.0,79.10010194302413,47.63876179795851,64.9009364582513,0.8506921749635448,0.6240845839546225,17.534608748177234,45.004868932413956,45.0145564805945
